email,firstName,lastName,rollNumber,onCampus
susan.lynn@iiitg.ac.in,Susan,Lynn,BT0001,False
james.bautista@iiitg.ac.in,James,Bautista,BT0002,True
felicia.rubio@iiitg.ac.in,Felicia,Rubio,BT0003,True
alicia.duke@iiitg.ac.in,Alicia,Duke,BT0004,True
peter.james@iiitg.ac.in,Peter,James,BT0005,False
mckenzie.delacruz@iiitg.ac.in,Mckenzie,Delacruz,BT0006,False
chelsea.berry@iiitg.ac.in,Chelsea,Berry,BT0007,True
samantha.brewer@iiitg.ac.in,Samantha,Brewer,BT0008,True
andrew.lewis@iiitg.ac.in,Andrew,Lewis,BT0009,False
stacy.gordon@iiitg.ac.in,Stacy,Gordon,BT0010,True
julia.herring@iiitg.ac.in,Julia,Herring,BT0011,True
andrea.miller@iiitg.ac.in,Andrea,Miller,BT0012,True
karen.brown@iiitg.ac.in,Karen,Brown,BT0013,True
natasha.roberson@iiitg.ac.in,Natasha,Roberson,BT0014,False
david.wilson@iiitg.ac.in,David,Wilson,BT0015,False
jason.martinez@iiitg.ac.in,Jason,Martinez,BT0016,True
brent.dean@iiitg.ac.in,Brent,Dean,BT0017,False
joseph.moreno@iiitg.ac.in,Joseph,Moreno,BT0018,True
amy.martinez@iiitg.ac.in,Amy,Martinez,BT0019,True
brent.reed@iiitg.ac.in,Brent,Reed,BT0020,True
heather.butler@iiitg.ac.in,Heather,Butler,BT0021,False
christopher.gibbs@iiitg.ac.in,Christopher,Gibbs,BT0022,True
lisa.dominguez@iiitg.ac.in,Lisa,Dominguez,BT0023,False
antonio.gonzales@iiitg.ac.in,Antonio,Gonzales,BT0024,True
sandra.brown@iiitg.ac.in,Sandra,Brown,BT0025,True
mark.livingston@iiitg.ac.in,Mark,Livingston,BT0026,True
howard.long@iiitg.ac.in,Howard,Long,BT0027,False
debra.cole@iiitg.ac.in,Debra,Cole,BT0028,True
anthony.thomas@iiitg.ac.in,Anthony,Thomas,BT0029,False
eric.cline@iiitg.ac.in,Eric,Cline,BT0030,False
marisa.ramirez@iiitg.ac.in,Marisa,Ramirez,BT0031,False
troy.keller@iiitg.ac.in,Troy,Keller,BT0032,True
geoffrey.simpson@iiitg.ac.in,Geoffrey,Simpson,BT0033,False
richard.rhodes@iiitg.ac.in,Richard,Rhodes,BT0034,True
joshua.bruce@iiitg.ac.in,Joshua,Bruce,BT0035,False
erica.ross@iiitg.ac.in,Erica,Ross,BT0036,True
debbie.hawkins@iiitg.ac.in,Debbie,Hawkins,BT0037,False
brian.olson@iiitg.ac.in,Brian,Olson,BT0038,True
alex.williams@iiitg.ac.in,Alex,Williams,BT0039,True
william.blair@iiitg.ac.in,William,Blair,BT0040,True
steven.chapman@iiitg.ac.in,Steven,Chapman,BT0041,False
scott.jones@iiitg.ac.in,Scott,Jones,BT0042,True
amber.duke@iiitg.ac.in,Amber,Duke,BT0043,False
brian.hamilton@iiitg.ac.in,Brian,Hamilton,BT0044,False
jacqueline.watson@iiitg.ac.in,Jacqueline,Watson,BT0045,True
andre.cain@iiitg.ac.in,Andre,Cain,BT0046,True
teresa.garcia@iiitg.ac.in,Teresa,Garcia,BT0047,True
stephen.gonzalez@iiitg.ac.in,Stephen,Gonzalez,BT0048,False
john.christian@iiitg.ac.in,John,Christian,BT0049,False
lucas.king@iiitg.ac.in,Lucas,King,BT0050,True
eric.pugh@iiitg.ac.in,Eric,Pugh,BT0051,True
ruth.thomas@iiitg.ac.in,Ruth,Thomas,BT0052,True
christopher.santos@iiitg.ac.in,Christopher,Santos,BT0053,True
daniel.alvarez@iiitg.ac.in,Daniel,Alvarez,BT0054,False
larry.guzman@iiitg.ac.in,Larry,Guzman,BT0055,False
amy.jensen@iiitg.ac.in,Amy,Jensen,BT0056,False
kristin.monroe@iiitg.ac.in,Kristin,Monroe,BT0057,False
amber.bailey@iiitg.ac.in,Amber,Bailey,BT0058,False
robin.dorsey@iiitg.ac.in,Robin,Dorsey,BT0059,True
melissa.adams@iiitg.ac.in,Melissa,Adams,BT0060,False
anthony.conner@iiitg.ac.in,Anthony,Conner,BT0061,False
juan.hickman@iiitg.ac.in,Juan,Hickman,BT0062,False
james.taylor@iiitg.ac.in,James,Taylor,BT0063,True
tracy.freeman@iiitg.ac.in,Tracy,Freeman,BT0064,True
nicholas.hale@iiitg.ac.in,Nicholas,Hale,BT0065,False
jessica.townsend@iiitg.ac.in,Jessica,Townsend,BT0066,False
david.robinson@iiitg.ac.in,David,Robinson,BT0067,True
claudia.harmon@iiitg.ac.in,Claudia,Harmon,BT0068,False
diane.ryan@iiitg.ac.in,Diane,Ryan,BT0069,True
gregory.velez@iiitg.ac.in,Gregory,Velez,BT0070,False
elijah.meyers@iiitg.ac.in,Elijah,Meyers,BT0071,False
robert.skinner@iiitg.ac.in,Robert,Skinner,BT0072,True
lauren.medina@iiitg.ac.in,Lauren,Medina,BT0073,True
marcus.gibson@iiitg.ac.in,Marcus,Gibson,BT0074,False
michael.durham@iiitg.ac.in,Michael,Durham,BT0075,False
keith.dixon@iiitg.ac.in,Keith,Dixon,BT0076,False
jonathan.smith@iiitg.ac.in,Jonathan,Smith,BT0077,False
kathryn.willis@iiitg.ac.in,Kathryn,Willis,BT0078,False
james.anderson@iiitg.ac.in,James,Anderson,BT0079,True
stephanie.white@iiitg.ac.in,Stephanie,White,BT0080,False
nancy.andersen@iiitg.ac.in,Nancy,Andersen,BT0081,True
kristin.cooper@iiitg.ac.in,Kristin,Cooper,BT0082,True
cynthia.hernandez@iiitg.ac.in,Cynthia,Hernandez,BT0083,False
tiffany.lawson@iiitg.ac.in,Tiffany,Lawson,BT0084,False
daniel.webb@iiitg.ac.in,Daniel,Webb,BT0085,False
justin.williams@iiitg.ac.in,Justin,Williams,BT0086,False
bethany.briggs@iiitg.ac.in,Bethany,Briggs,BT0087,False
andrea.cruz@iiitg.ac.in,Andrea,Cruz,BT0088,True
maurice.leblanc@iiitg.ac.in,Maurice,Leblanc,BT0089,True
gordon.duncan@iiitg.ac.in,Gordon,Duncan,BT0090,False
sheila.williams@iiitg.ac.in,Sheila,Williams,BT0091,False
melanie.gill@iiitg.ac.in,Melanie,Gill,BT0092,True
angela.coleman@iiitg.ac.in,Angela,Coleman,BT0093,False
monique.reeves@iiitg.ac.in,Monique,Reeves,BT0094,True
james.spence@iiitg.ac.in,James,Spence,BT0095,True
william.baker@iiitg.ac.in,William,Baker,BT0096,False
kaitlin.harrison@iiitg.ac.in,Kaitlin,Harrison,BT0097,True
nathan.floyd@iiitg.ac.in,Nathan,Floyd,BT0098,True
matthew.charles@iiitg.ac.in,Matthew,Charles,BT0099,False
ashley.washington@iiitg.ac.in,Ashley,Washington,BT0100,True
paige.hayden@iiitg.ac.in,Paige,Hayden,BT0101,False
warren.daniels@iiitg.ac.in,Warren,Daniels,BT0102,True
jason.martinez@iiitg.ac.in,Jason,Martinez,BT0103,False
scott.herring@iiitg.ac.in,Scott,Herring,BT0104,False
carol.cooley@iiitg.ac.in,Carol,Cooley,BT0105,False
steven.wilson@iiitg.ac.in,Steven,Wilson,BT0106,False
leah.booth@iiitg.ac.in,Leah,Booth,BT0107,True
alexander.lewis@iiitg.ac.in,Alexander,Lewis,BT0108,False
sara.gardner@iiitg.ac.in,Sara,Gardner,BT0109,False
patricia.walker@iiitg.ac.in,Patricia,Walker,BT0110,True
ryan.bradley@iiitg.ac.in,Ryan,Bradley,BT0111,True
william.wilson@iiitg.ac.in,William,Wilson,BT0112,True
brandi.gregory@iiitg.ac.in,Brandi,Gregory,BT0113,False
michelle.jackson@iiitg.ac.in,Michelle,Jackson,BT0114,False
mark.barrett@iiitg.ac.in,Mark,Barrett,BT0115,True
david.smith@iiitg.ac.in,David,Smith,BT0116,False
wanda.reyes@iiitg.ac.in,Wanda,Reyes,BT0117,True
corey.taylor@iiitg.ac.in,Corey,Taylor,BT0118,True
vernon.gonzalez@iiitg.ac.in,Vernon,Gonzalez,BT0119,False
richard.cummings@iiitg.ac.in,Richard,Cummings,BT0120,False
sarah.black@iiitg.ac.in,Sarah,Black,BT0121,False
andrew.dixon@iiitg.ac.in,Andrew,Dixon,BT0122,True
dean.carter@iiitg.ac.in,Dean,Carter,BT0123,True
joseph.thompson@iiitg.ac.in,Joseph,Thompson,BT0124,False
michael.joseph@iiitg.ac.in,Michael,Joseph,BT0125,False
logan.adams@iiitg.ac.in,Logan,Adams,BT0126,True
steven.mathews@iiitg.ac.in,Steven,Mathews,BT0127,True
carlos.mills@iiitg.ac.in,Carlos,Mills,BT0128,True
william.walker@iiitg.ac.in,William,Walker,BT0129,True
james.reid@iiitg.ac.in,James,Reid,BT0130,False
william.wolf@iiitg.ac.in,William,Wolf,BT0131,True
brandon.townsend@iiitg.ac.in,Brandon,Townsend,BT0132,False
douglas.dunn@iiitg.ac.in,Douglas,Dunn,BT0133,True
william.coleman@iiitg.ac.in,William,Coleman,BT0134,False
sheila.alvarez@iiitg.ac.in,Sheila,Alvarez,BT0135,False
anna.johnson@iiitg.ac.in,Anna,Johnson,BT0136,True
amanda.meyer@iiitg.ac.in,Amanda,Meyer,BT0137,False
sandra.shaw@iiitg.ac.in,Sandra,Shaw,BT0138,False
donald.cowan@iiitg.ac.in,Donald,Cowan,BT0139,True
cynthia.sanchez@iiitg.ac.in,Cynthia,Sanchez,BT0140,False
meagan.savage@iiitg.ac.in,Meagan,Savage,BT0141,True
teresa.williams@iiitg.ac.in,Teresa,Williams,BT0142,True
eric.hopkins@iiitg.ac.in,Eric,Hopkins,BT0143,True
alexandria.kline@iiitg.ac.in,Alexandria,Kline,BT0144,True
gene.smith@iiitg.ac.in,Gene,Smith,BT0145,False
brandi.dawson@iiitg.ac.in,Brandi,Dawson,BT0146,True
roger.arellano@iiitg.ac.in,Roger,Arellano,BT0147,False
andrew.mccarthy@iiitg.ac.in,Andrew,Mccarthy,BT0148,True
stacey.mayo@iiitg.ac.in,Stacey,Mayo,BT0149,False
joseph.vasquez@iiitg.ac.in,Joseph,Vasquez,BT0150,True
matthew.nelson@iiitg.ac.in,Matthew,Nelson,BT0151,False
stacy.nelson@iiitg.ac.in,Stacy,Nelson,BT0152,True
isaiah.brewer@iiitg.ac.in,Isaiah,Brewer,BT0153,False
patrick.lopez@iiitg.ac.in,Patrick,Lopez,BT0154,False
bridget.hess@iiitg.ac.in,Bridget,Hess,BT0155,False
robert.cooper@iiitg.ac.in,Robert,Cooper,BT0156,True
kim.guerrero@iiitg.ac.in,Kim,Guerrero,BT0157,False
patricia.webb@iiitg.ac.in,Patricia,Webb,BT0158,False
frank.valdez@iiitg.ac.in,Frank,Valdez,BT0159,False
tyler.madden@iiitg.ac.in,Tyler,Madden,BT0160,True
michelle.smith@iiitg.ac.in,Michelle,Smith,BT0161,False
paul.moore@iiitg.ac.in,Paul,Moore,BT0162,False
ashley.black@iiitg.ac.in,Ashley,Black,BT0163,False
nathaniel.james@iiitg.ac.in,Nathaniel,James,BT0164,False
fred.sanders@iiitg.ac.in,Fred,Sanders,BT0165,True
jacob.moore@iiitg.ac.in,Jacob,Moore,BT0166,True
donna.decker@iiitg.ac.in,Donna,Decker,BT0167,True
andrea.green@iiitg.ac.in,Andrea,Green,BT0168,False
virginia.nguyen@iiitg.ac.in,Virginia,Nguyen,BT0169,True
laurie.mendoza@iiitg.ac.in,Laurie,Mendoza,BT0170,True
sabrina.lester@iiitg.ac.in,Sabrina,Lester,BT0171,True
sarah.garrett@iiitg.ac.in,Sarah,Garrett,BT0172,False
barbara.carroll@iiitg.ac.in,Barbara,Carroll,BT0173,False
joseph.stephens@iiitg.ac.in,Joseph,Stephens,BT0174,False
brian.fischer@iiitg.ac.in,Brian,Fischer,BT0175,False
angela.johnson@iiitg.ac.in,Angela,Johnson,BT0176,True
stephanie.wolf@iiitg.ac.in,Stephanie,Wolf,BT0177,True
richard.goodman@iiitg.ac.in,Richard,Goodman,BT0178,True
gregory.walker@iiitg.ac.in,Gregory,Walker,BT0179,False
rhonda.khan@iiitg.ac.in,Rhonda,Khan,BT0180,True
gerald.moody@iiitg.ac.in,Gerald,Moody,BT0181,True
tina.robertson@iiitg.ac.in,Tina,Robertson,BT0182,False
david.davis@iiitg.ac.in,David,Davis,BT0183,False
john.schaefer@iiitg.ac.in,John,Schaefer,BT0184,False
scott.hernandez@iiitg.ac.in,Scott,Hernandez,BT0185,True
brittany.salazar@iiitg.ac.in,Brittany,Salazar,BT0186,False
cynthia.butler@iiitg.ac.in,Cynthia,Butler,BT0187,False
cynthia.snyder@iiitg.ac.in,Cynthia,Snyder,BT0188,True
james.bernard@iiitg.ac.in,James,Bernard,BT0189,False
jeremy.robinson@iiitg.ac.in,Jeremy,Robinson,BT0190,True
sean.ruiz@iiitg.ac.in,Sean,Ruiz,BT0191,True
kent.johnson@iiitg.ac.in,Kent,Johnson,BT0192,True
erica.martin@iiitg.ac.in,Erica,Martin,BT0193,True
david.donaldson@iiitg.ac.in,David,Donaldson,BT0194,False
alexander.odom@iiitg.ac.in,Alexander,Odom,BT0195,True
linda.mckee@iiitg.ac.in,Linda,Mckee,BT0196,True
sean.phillips@iiitg.ac.in,Sean,Phillips,BT0197,False
matthew.james@iiitg.ac.in,Matthew,James,BT0198,True
dana.douglas@iiitg.ac.in,Dana,Douglas,BT0199,False
nathan.turner@iiitg.ac.in,Nathan,Turner,BT0200,False
donna.wallace@iiitg.ac.in,Donna,Wallace,BT0201,True
desiree.ortiz@iiitg.ac.in,Desiree,Ortiz,BT0202,False
ricardo.soto@iiitg.ac.in,Ricardo,Soto,BT0203,False
rachel.mendoza@iiitg.ac.in,Rachel,Mendoza,BT0204,True
lori.henderson@iiitg.ac.in,Lori,Henderson,BT0205,True
kristina.hawkins@iiitg.ac.in,Kristina,Hawkins,BT0206,False
eugene.dunn@iiitg.ac.in,Eugene,Dunn,BT0207,False
brianna.russell@iiitg.ac.in,Brianna,Russell,BT0208,True
gregory.clarke@iiitg.ac.in,Gregory,Clarke,BT0209,True
richard.pitts@iiitg.ac.in,Richard,Pitts,BT0210,True
sarah.robinson@iiitg.ac.in,Sarah,Robinson,BT0211,True
katherine.smith@iiitg.ac.in,Katherine,Smith,BT0212,False
collin.perry@iiitg.ac.in,Collin,Perry,BT0213,False
cynthia.hooper@iiitg.ac.in,Cynthia,Hooper,BT0214,False
vincent.howard@iiitg.ac.in,Vincent,Howard,BT0215,True
kathleen.edwards@iiitg.ac.in,Kathleen,Edwards,BT0216,True
shannon.campbell@iiitg.ac.in,Shannon,Campbell,BT0217,True
mark.ashley@iiitg.ac.in,Mark,Ashley,BT0218,False
amber.campbell@iiitg.ac.in,Amber,Campbell,BT0219,True
miguel.stewart@iiitg.ac.in,Miguel,Stewart,BT0220,False
courtney.price@iiitg.ac.in,Courtney,Price,BT0221,False
mitchell.marshall@iiitg.ac.in,Mitchell,Marshall,BT0222,False
lindsey.smith@iiitg.ac.in,Lindsey,Smith,BT0223,True
alyssa.morrison@iiitg.ac.in,Alyssa,Morrison,BT0224,True
elizabeth.delgado@iiitg.ac.in,Elizabeth,Delgado,BT0225,False
mary.patterson@iiitg.ac.in,Mary,Patterson,BT0226,True
carlos.johnson@iiitg.ac.in,Carlos,Johnson,BT0227,False
jessica.stephens@iiitg.ac.in,Jessica,Stephens,BT0228,False
abigail.johnson@iiitg.ac.in,Abigail,Johnson,BT0229,True
daniel.thomas@iiitg.ac.in,Daniel,Thomas,BT0230,False
sydney.mata@iiitg.ac.in,Sydney,Mata,BT0231,True
michael.robles@iiitg.ac.in,Michael,Robles,BT0232,False
caleb.davis@iiitg.ac.in,Caleb,Davis,BT0233,False
kimberly.graham@iiitg.ac.in,Kimberly,Graham,BT0234,False
melinda.lee@iiitg.ac.in,Melinda,Lee,BT0235,True
melanie.perez@iiitg.ac.in,Melanie,Perez,BT0236,False
sarah.faulkner@iiitg.ac.in,Sarah,Faulkner,BT0237,False
pamela.michael@iiitg.ac.in,Pamela,Michael,BT0238,True
samuel.morales@iiitg.ac.in,Samuel,Morales,BT0239,True
samuel.king@iiitg.ac.in,Samuel,King,BT0240,False
ryan.wood@iiitg.ac.in,Ryan,Wood,BT0241,False
luke.farmer@iiitg.ac.in,Luke,Farmer,BT0242,True
mario.cummings@iiitg.ac.in,Mario,Cummings,BT0243,False
kevin.valencia@iiitg.ac.in,Kevin,Valencia,BT0244,True
brianna.boyd@iiitg.ac.in,Brianna,Boyd,BT0245,False
anne.richardson@iiitg.ac.in,Anne,Richardson,BT0246,True
caitlin.rios@iiitg.ac.in,Caitlin,Rios,BT0247,False
colton.mills@iiitg.ac.in,Colton,Mills,BT0248,True
melanie.freeman@iiitg.ac.in,Melanie,Freeman,BT0249,True
nathaniel.edwards@iiitg.ac.in,Nathaniel,Edwards,BT0250,False
jeff.myers@iiitg.ac.in,Jeff,Myers,BT0251,False
kelly.kelley@iiitg.ac.in,Kelly,Kelley,BT0252,False
henry.snyder@iiitg.ac.in,Henry,Snyder,BT0253,False
troy.farmer@iiitg.ac.in,Troy,Farmer,BT0254,True
eric.ruiz@iiitg.ac.in,Eric,Ruiz,BT0255,True
ethan.collins@iiitg.ac.in,Ethan,Collins,BT0256,True
robert.miller@iiitg.ac.in,Robert,Miller,BT0257,True
elizabeth.hernandez@iiitg.ac.in,Elizabeth,Hernandez,BT0258,True
patricia.mcmillan@iiitg.ac.in,Patricia,Mcmillan,BT0259,True
tonya.brewer@iiitg.ac.in,Tonya,Brewer,BT0260,True
nancy.james@iiitg.ac.in,Nancy,James,BT0261,True
curtis.cochran@iiitg.ac.in,Curtis,Cochran,BT0262,False
james.ellis@iiitg.ac.in,James,Ellis,BT0263,True
richard.mcdaniel@iiitg.ac.in,Richard,Mcdaniel,BT0264,True
charles.torres@iiitg.ac.in,Charles,Torres,BT0265,True
randy.lewis@iiitg.ac.in,Randy,Lewis,BT0266,False
ryan.hammond@iiitg.ac.in,Ryan,Hammond,BT0267,False
